,Tri-gram,Frequency
0,technolog innov entrepreneurship,59
1,innov entrepreneurship center,59
2,entrepreneurship center tiec,53
3,auc ventur lab,34
4,miss chanc appli,28
5,middl east north,25
6,east north africa,25
7,earli stage startup,24
8,ventur capit fund,19
9,fall wall lab,19
10,inform technolog industri,16
11,technolog industri develop,16
12,industri develop agenc,16
13,american univers cairo,16
14,announc open applic,16
15,co work space,16
16,develop agenc itida,15
17,middl east africa,15
18,unit arab emir,14
19,flat lab cairo,14
